# Function summary
# addr  name  size_bytes  num_callers  num_callees  indirect_jumps

65D0  FUN_65d0                          2    1 callers    0 callees  0 indirect
65D2  FUN_65d2                         13    1 callers    0 callees  0 indirect
65DF  FUN_65df                         15    1 callers    0 callees  0 indirect
65EE  FUN_65ee                         13    1 callers    1 callees  0 indirect
65FB  FUN_65fb                         37    1 callers    2 callees  0 indirect
6620  FUN_6620                         34    1 callers    2 callees  0 indirect
6642  FUN_6642                         27    1 callers    2 callees  0 indirect
665D  FUN_665d                         63    1 callers    0 callees  0 indirect
669C  FUN_669c                         42    2 callers    2 callees  0 indirect
66C6  FUN_66c6                          2    4 callers    0 callees  0 indirect
66C8  FUN_66c8                         11    1 callers    0 callees  0 indirect
66D3  FUN_66d3                          2    1 callers    0 callees  0 indirect
66D5  FUN_66d5                          9    4 callers    0 callees  0 indirect
66DE  FUN_66de                         11    1 callers    0 callees  0 indirect
672D  FUN_672d                         35    1 callers    2 callees  0 indirect
6750  FUN_6750                         35    1 callers    1 callees  0 indirect
6773  FUN_6773                         80    2 callers    2 callees  0 indirect
67C3  FUN_67c3                         63    2 callers    4 callees  0 indirect
6802  FUN_6802                          3    1 callers    0 callees  0 indirect
6805  FUN_6805                         12    1 callers    0 callees  0 indirect
6811  FUN_6811                        108    1 callers    3 callees  0 indirect
687D  FUN_687d                         19    1 callers    0 callees  0 indirect
6890  FUN_6890                          9    1 callers    0 callees  0 indirect
6899  FUN_6899                         20    1 callers    0 callees  0 indirect
68AD  FUN_68ad                         34    1 callers    0 callees  0 indirect
68CF  FUN_68cf                         91    1 callers    0 callees  0 indirect
692A  FUN_692a                         41    1 callers    1 callees  0 indirect
69DD  FUN_69dd                          6    1 callers    0 callees  0 indirect
69E3  FUN_69e3                         14    1 callers    0 callees  0 indirect
69F1  FUN_69f1                         30    1 callers    0 callees  0 indirect
6A0F  FUN_6a0f                         24    1 callers    0 callees  0 indirect
6AE5  FUN_6ae5                          9    1 callers    1 callees  0 indirect
6B2E  FUN_6b2e                         25    1 callers    1 callees  0 indirect
6B47  FUN_6b47                         24    1 callers    0 callees  0 indirect
6B63  FUN_6b63                         14    1 callers    0 callees  0 indirect
6B71  FUN_6b71                         15    1 callers    0 callees  0 indirect
6B85  FUN_6b85                         35    1 callers    0 callees  0 indirect
6BA8  FUN_6ba8                         69    1 callers    1 callees  0 indirect
6BED  FUN_6bed                         96    1 callers    1 callees  0 indirect
6C4D  FUN_6c4d                         69    1 callers    2 callees  0 indirect
6C92  FUN_6c92                         27    1 callers    0 callees  0 indirect
6DDF  FUN_6ddf                         21    2 callers    0 callees  0 indirect
6DF4  FUN_6df4                         27    1 callers    1 callees  0 indirect
6FBF  FUN_6fbf                        136    1 callers    2 callees  0 indirect
7047  FUN_7047                         34    2 callers    0 callees  0 indirect
7069  FUN_7069                         64    1 callers    2 callees  0 indirect
70A9  FUN_70a9                         10    1 callers    0 callees  0 indirect
70B3  FUN_70b3                         52    1 callers    0 callees  0 indirect
70E7  FUN_70e7                         18    2 callers    0 callees  0 indirect
712D  FUN_712d                         27    3 callers    0 callees  0 indirect
7238  FUN_7238                         27    3 callers    0 callees  0 indirect
73C8  FUN_73c8                        152    1 callers    5 callees  0 indirect
7460  FUN_7460                         35    2 callers    0 callees  0 indirect
7483  FUN_7483                         21    1 callers    0 callees  0 indirect
7498  FUN_7498                         63    1 callers    2 callees  0 indirect
74D7  FUN_74d7                        100    1 callers    0 callees  0 indirect
753B  FUN_753b                         29    1 callers    0 callees  0 indirect
7558  FUN_7558                         35    1 callers    1 callees  0 indirect
757B  FUN_757b                         13    2 callers    1 callees  0 indirect
7588  FUN_7588                         29    1 callers    0 callees  0 indirect
75A5  FUN_75a5                         19    1 callers    0 callees  0 indirect
75B8  FUN_75b8                         24    1 callers    0 callees  0 indirect
75D0  FUN_75d0                         14    1 callers    1 callees  0 indirect
75DE  FUN_75de                         11    1 callers    2 callees  0 indirect
75E9  FUN_75e9                         12    1 callers    2 callees  0 indirect
75F5  FUN_75f5                        214    1 callers    1 callees  0 indirect
76CB  FUN_76cb                        248    1 callers    2 callees  0 indirect
77DF  FUN_77df                         44    1 callers    0 callees  0 indirect
7813  FUN_7813                         23    1 callers    0 callees  0 indirect
782A  FUN_782a                         42    1 callers    0 callees  0 indirect
7854  FUN_7854                        451    1 callers   13 callees  0 indirect
7A17  FUN_7a17                        114    1 callers    4 callees  0 indirect
7A89  FUN_7a89                         29    1 callers    2 callees  0 indirect
7AA6  FUN_7aa6                          2    1 callers    0 callees  0 indirect
7AA8  FUN_7aa8                         16    1 callers    0 callees  0 indirect
7AB8  FUN_7ab8                         60    2 callers    2 callees  0 indirect
7AF4  FUN_7af4                         69    1 callers    2 callees  0 indirect
7B39  FUN_7b39                         27    2 callers    3 callees  0 indirect
7B54  FUN_7b54                         32    2 callers    0 callees  0 indirect
7B74  FUN_7b74                          9    3 callers    0 callees  0 indirect
7B7D  FUN_7b7d                         23    1 callers    1 callees  0 indirect
7B94  FUN_7b94                         50    0 callers    2 callees  0 indirect
7C01  FUN_7c01                        153    1 callers    2 callees  0 indirect
7C9A  FUN_7c9a                        158    1 callers    1 callees  0 indirect
7D38  FUN_7d38                         85    1 callers    0 callees  0 indirect
7EC7  FUN_7ec7                        153    1 callers    2 callees  0 indirect
7F60  FUN_7f60                         26    1 callers    0 callees  0 indirect
7F7A  FUN_7f7a                         11    1 callers    1 callees  0 indirect
7F85  FUN_7f85                        320    2 callers    3 callees  0 indirect
80C5  FUN_80c5                         64    1 callers    4 callees  0 indirect
8105  FUN_8105                         26    1 callers    1 callees  0 indirect
811F  FUN_811f                         25    1 callers    0 callees  0 indirect
8138  FUN_8138                         48    1 callers    1 callees  0 indirect
8168  FUN_8168                         25    1 callers    0 callees  0 indirect
8181  FUN_8181                         33    2 callers    0 callees  0 indirect
8237  FUN_8237                         83    0 callers    5 callees  0 indirect
9BA0  FUN_9ba0                         59    1 callers    1 callees  0 indirect
9BDB  FUN_9bdb                        122    1 callers    1 callees  0 indirect
9C55  FUN_9c55                         66    1 callers    0 callees  0 indirect
9C97  FUN_9c97                        208    1 callers    0 callees  0 indirect
9D6F  FUN_9d6f                        237    1 callers    0 callees  0 indirect
9E54  FUN_9e54                        591    1 callers    2 callees  0 indirect
A0A3  FUN_a0a3                        124    1 callers    1 callees  0 indirect
A11F  FUN_a11f                        511    1 callers    1 callees  0 indirect
A31E  FUN_a31e                        757    1 callers    8 callees  0 indirect
A613  FUN_a613                         40    1 callers    0 callees  0 indirect
A63B  FUN_a63b                        145    1 callers    0 callees  0 indirect
A6CB  FUN_a6cb                          8    3 callers    0 callees  0 indirect
A6D3  FUN_a6d3                         38    2 callers    0 callees  0 indirect
A822  FUN_a822                        141    0 callers    3 callees  0 indirect
A8AF  FUN_a8af                         91    2 callers    0 callees  0 indirect
A90A  FUN_a90a                        146    0 callers    4 callees  0 indirect
A99C  FUN_a99c                        249    1 callers    4 callees  0 indirect
AA95  FUN_aa95                         58    1 callers    0 callees  0 indirect
AACF  FUN_aacf                         89    1 callers    1 callees  0 indirect
AAD4  FUN_aad4                         83    1 callers    1 callees  0 indirect
AB7B  FUN_ab7b                         31    2 callers    0 callees  0 indirect
AB9A  FUN_ab9a                        160    1 callers    1 callees  0 indirect
AC42  FUN_ac42                         81    1 callers    0 callees  0 indirect
AC93  FUN_ac93                        152    1 callers    1 callees  0 indirect
AD2B  FUN_ad2b                         52    1 callers    0 callees  0 indirect
AD5F  FUN_ad5f                        244    1 callers    0 callees  0 indirect
AE53  FUN_ae53                        799    1 callers    0 callees  0 indirect
B172  FUN_b172                        346    1 callers    2 callees  0 indirect
B2CC  FUN_b2cc                        113    1 callers    0 callees  0 indirect
B33D  FUN_b33d                        555    1 callers    0 callees  0 indirect
B800  init_B800                        50    0 callers    0 callees  0 indirect
E45C  FUN_e45c                          1    1 callers    0 callees  0 indirect

# Call edges (caller_addr -> callee_addr)
195D -> 1B50
195D -> 1B5B
195D -> 1C40
195D -> 1D9A
195D -> 1DF5
195D -> 1E79
